disease|wiki_title|symptoms|description|self_care|urgency
Common cold|Common cold|runny nose;sneezing;sore throat;cough;nasal congestion;mild fever|A mild viral infection of the upper respiratory tract.|Rest, fluids, and over-the-counter symptom relief. Usually resolves in 7-10 days.|low
Influenza (flu)|Influenza|fever;chills;body aches;fatigue;cough;headache;sore throat|A contagious respiratory illness caused by influenza viruses.|Rest, fluids, and fever control. Contact a clinician if severe or high-risk.|medium
COVID-19|COVID-19|fever;dry cough;fatigue;loss of taste;loss of smell;shortness of breath;sore throat|An infectious disease caused by the SARS-CoV-2 virus.|Isolate, rest, monitor breathing, and test. Seek care if breathing worsens.|medium
Migraine|Migraine|headache;nausea;sensitivity to light;sensitivity to sound;visual aura;dizziness|A neurological condition marked by intense, often one-sided headaches.|Rest in a dark, quiet room; use prescribed migraine medication if available.|low
Tension headache|Tension headache|headache;neck pain;scalp tenderness;fatigue;difficulty concentrating|A common headache linked to muscle tension and stress.|Rest, hydration, stress reduction, and gentle stretching.|low
Gastroenteritis|Gastroenteritis|nausea;vomiting;diarrhea;abdominal pain;mild fever;fatigue|Inflammation of the stomach and intestines, often viral.|Prioritize fluids and electrolytes; seek care for signs of dehydration.|medium
Food poisoning|Foodborne illness|nausea;vomiting;diarrhea;abdominal pain;fever;chills|Illness caused by eating contaminated food.|Rest and rehydrate; seek care if symptoms are severe or persistent.|medium
Allergic rhinitis|Allergic rhinitis|sneezing;itchy eyes;runny nose;nasal congestion;watery eyes|An allergic response causing cold-like symptoms.|Avoid triggers and consider antihistamines.|low
Asthma|Asthma|shortness of breath;wheezing;chest tightness;cough;difficulty breathing|A chronic condition that inflames and narrows the airways.|Use prescribed inhalers; seek urgent care for severe breathing difficulty.|high
Bronchitis|Bronchitis|cough;mucus production;fatigue;chest discomfort;mild fever;wheezing|Inflammation of the bronchial tubes carrying air to the lungs.|Rest, fluids, and humidified air; see a clinician if it persists.|medium
Pneumonia|Pneumonia|fever;cough;shortness of breath;chest pain;chills;fatigue;rapid breathing|An infection that inflames the air sacs in the lungs.|Requires medical evaluation; may need antibiotics or hospital care.|high
Urinary tract infection|Urinary tract infection|burning urination;frequent urination;pelvic pain;cloudy urine;fever|An infection in any part of the urinary system.|See a clinician; often treated with antibiotics. Drink plenty of water.|medium
Strep throat|Streptococcal pharyngitis|sore throat;fever;swollen lymph nodes;difficulty swallowing;headache|A bacterial throat infection caused by group A streptococcus.|See a clinician for testing; antibiotics may be prescribed.|medium
Sinusitis|Sinusitis|nasal congestion;facial pain;headache;runny nose;reduced smell;cough|Inflammation of the sinuses, often following a cold.|Rest, fluids, saline rinses; see a clinician if symptoms persist.|low
Dehydration|Dehydration|thirst;dizziness;fatigue;dry mouth;dark urine;headache|A harmful loss of body fluids and electrolytes.|Rehydrate with water and electrolytes; seek care if severe.|medium
Anemia|Anemia|fatigue;pale skin;shortness of breath;dizziness;cold hands;rapid heartbeat|A condition of too few healthy red blood cells to carry oxygen.|Requires evaluation for the underlying cause; may need dietary changes or supplements.|medium
Type 2 diabetes|Diabetes|increased thirst;frequent urination;fatigue;blurred vision;slow healing;increased hunger|A chronic condition affecting how the body regulates blood sugar.|Requires clinical diagnosis and long-term management of blood sugar.|medium
Possible cardiac event|Myocardial infarction|chest pain;shortness of breath;pain radiating to arm;sweating;dizziness;nausea|Symptoms that may indicate a heart attack or other serious heart problem.|Do not wait. This pattern requires emergency evaluation immediately.|emergency
Possible stroke|Stroke|face drooping;slurred speech;arm weakness;confusion;sudden headache;vision loss|Symptoms that may indicate a stroke, where blood flow to the brain is disrupted.|Call emergency services immediately. Every minute matters.|emergency
